## 전체 수정 내역 정리

| # | 카테고리 | 수정 내용 | 이유 |
|---|---------|----------|------|
| 1 | 데이터 | 엑셀 컬럼명 `단축코드` 인식 + `*001` 코드 파싱 | 실제 KRX 파일 형식 확인 후 |
| 2 | 데이터 | ACE 코스피200 → PLUS 200 리브랜딩 반영 | 실제 데이터에서 PLUS로 나옴 |
| 3 | 데이터 | NaN 처리 버그 수정 (`_row_to_etf`) | pandas NaN or 0 오작동 |
| 4 | 데이터 | 중복 컬럼명 처리 (`get_etf_row`) | DataFrame 반환 오류 |
| 5 | 분석 | **타임라인 버그** 수정 — 현재 주 이전 시트만 history 사용 | 3월 선택해도 5월 데이터가 베이스라인에 들어가던 버그 |
| 6 | 분석 | 변화율 공식 비율→**정규화 절대 변화** 전환 | -588% 같은 폭발값 발생 |
| 7 | 분석 | LP 감지 조건 `OR`→`AND` (z>2.0 AND 부호반전) | 너무 자주 LP 의심 발생 |
| 8 | 분석 | LP 감지 — **비교군도 같은 패턴이면 장세 전환** 처리 | 금리인하 등 시장 전체 현상 오탐 방지 |
| 9 | 분석 | KODEX LP 감지 시 **비교군도 동일 지표** 사용 | KODEX는 개인, TIGER는 금융투자로 비교하면 부당 |
| 10 | 분석 | `comp_defs` 순서 오류 수정 (LP 감지보다 먼저 정의) | UnboundLocalError |
| 11 | 분석 | DiD 판정 기준 `≥50%`→`≥1.0` 등 정규화 단위로 통일 | 공식 변경에 맞게 |
| 12 | 분석 | `report.py` 판정 기준 및 색상 기준 통일 | HTML 리포트와 앱 불일치 |
| 13 | 비교군 | 4개 하드코딩→**236개 자동 매핑** | seq=33 하나만 보던 것 전체로 확장 |
| 14 | 비교군 | 변형 태그 필터링 (레버리지·인버스·커버드콜 불일치 제외) | TIGER 코스닥150레버리지가 비교군으로 잡히던 문제 |
| 15 | 비교군 | **운용사별 1개**, 최대 2개 제한 | TIGER 두 개가 잡히던 문제 |
| 16 | 비교군 | **네이버 금융 기초지수** 조회로 지수 동일 여부 검증 | 이름 유사해도 다른 지수면 잘못 매핑 |
| 17 | 비교군 | 비교군 1개일 때 각주 표시 | 2개라고 암묵적으로 가정하던 것 |
| 18 | 채널 | 삼성자산운용 이벤트 `seq=33`→**목록 전체** (`event.do`) | seq=33 하나만 보던 것 |
| 19 | 채널 | 이벤트 **본문까지 크롤링** + 이미지 alt 텍스트 추출 | 제목만 보다가 "반도체 맛집 이벤트"에서 KODEX 반도체 못 잡던 것 |
| 20 | 채널 | 네이버 블로그 iframe→**RSS** 방식 전환 | iframe 구조로 크롤링 불가 |
| 21 | 채널 | 뉴스 검색어를 **삼성증권 한정**으로 수정 | 타사 ETF 마케팅도 감지되던 문제 |
| 22 | 채널 | 네이버 뉴스 **직접 스크래핑** 추가 | API 없어도 네이버 뉴스 수집 |
| 23 | 채널 | 구글 트렌드 400 오류 → **봇 차단** 명확히 안내 | 오류 메시지 불분명 |
| 24 | 채널 | 날짜 필터링 — **선택한 주차 날짜 범위**로 RSS 필터 | 항상 오늘 기준 최근 7일이던 것 |
| 25 | 채널 | 채널 수집 키워드 ETF 4개→**236개 전체** 스캔 | KODEX 레버리지 등 신규 상품 못 잡던 것 |
| 26 | UI | 다크모드 CSS 수정 (흰 배경→투명) | 다크모드에서 글씨 안 보이던 것 |
| 27 | UI | **하드코딩 매핑 라벨** 제거 | 사용자에게 불필요한 내부 정보 |
| 28 | UI | **수동 ETF 선택 칸** 제거, LLM 자동 확정 | Agent인데 왜 수동으로 고르냐 |
| 29 | UI | 감지 근거 채널별 표시 + **마케팅 분류 근거** 추가 | 블랙박스 우려 해소 |
| 30 | UI | 수집됐으나 ETF 미감지 채널 별도 표시 | 왜 하나만 나오냐 의문 해소 |
| 31 | UI | **비교군 없음** 명확히 표시 (DiD 불가 안내) | 섹터 평균 대체안 논의 후 정직하게 표시 |
| 32 | UI | DiD 계산식 실제 숫자 대입 표시 | 계산 과정 투명화 |
| 33 | UI | 판정 기준 설명 + 이론적 설정값 주석 | 블랙박스 해소 |
| 34 | UI | `참고사항` 시트 드롭다운 제외 | 선택 시 에러 발생 |
| 35 | UI | 파일 업로더 2개 (누적 + 이번 주 신규 병합) | 매주 멘토님 파일 따로 올릴 수 있게 |
| 36 | UI | 사이드바 API 키 YouTube·Naver 제거 | RSS로 이미 수집되니 불필요 |
| 37 | UI | 과거 주차 선택 시 경고 메시지 | 채널 데이터 없을 수 있음 안내 |
| 38 | 코드 | `analyzer.py` 핵심 의사결정 지점 **한계 주석** 추가 | z-score 임계값, 4주 기준, 정규화 분모 등 |
| 39 | 문서 | `인수인계문서.md` 작성 | 세션 종료 시 맥락 보존 |

---

**총 39개 수정**

---
